1UP	<http://www.wikidata.org/entity/Q281251>
4G	<http://www.wikidata.org/entity/Q79697>
ABC World News	<http://www.wikidata.org/entity/Q700417>
AIDS	<http://www.wikidata.org/entity/Q12199>
AMS	<http://www.wikidata.org/entity/Q465726>
Acquired Immune Deficiency Syndrome	<http://www.wikidata.org/entity/Q12199>
Adobe	<http://www.wikidata.org/entity/Q183496>
Adobe	<http://www.wikidata.org/entity/Q11463>
Albany	<http://www.wikidata.org/entity/Q24861>
Alzheimer	<http://www.wikidata.org/entity/Q11081>
Amazon	<http://www.wikidata.org/entity/Q10846439>
America	<http://www.wikidata.org/entity/Q30>
American	<http://www.wikidata.org/entity/Q30>
Americans	<http://www.wikidata.org/entity/Q30>
Amnesia: The Dark Descent	<http://www.wikidata.org/entity/Q22986>
Andre	<http://www.wikidata.org/entity/Q501407>
Angelina Jolie	<http://www.wikidata.org/entity/Q13909>
Apple	<http://www.wikidata.org/entity/Q312>
Asia	<http://www.wikidata.org/entity/Q48>
Athens	<http://www.wikidata.org/entity/Q1524>
Augusta	<http://www.wikidata.org/entity/Q181962>
Austin	<http://www.wikidata.org/entity/Q16559>
Australian	<http://www.wikidata.org/entity/Q408>
BA	<http://www.wikidata.org/entity/Q1765120>
BFA	<http://www.wikidata.org/entity/Q2878277>
Bachelors	<http://www.wikidata.org/entity/Q516445>
Bank of England	<http://www.wikidata.org/entity/Q183231>
Barack Obama	<http://www.wikidata.org/entity/Q76>
Barnes and Noble	<http://www.wikidata.org/entity/Q795454>
Believe It Or Not	<http://www.wikidata.org/entity/Q1203684>
Berlin	<http://www.wikidata.org/entity/Q64>
Billings	<http://www.wikidata.org/entity/Q166304>
BioWare	<http://www.wikidata.org/entity/Q219758>
Blizzard	<http://www.wikidata.org/entity/Q178824>
BlogSpot	<http://www.wikidata.org/entity/Q171186>
Blogger	<http://www.wikidata.org/entity/Q171186>
Bloomberg	<http://www.wikidata.org/entity/Q13977>
Blue	<http://www.wikidata.org/entity/Q166194>
Brad Pitt	<http://www.wikidata.org/entity/Q35332>
Breast	<http://www.wikidata.org/entity/Q9103>
Breast Cancer	<http://www.wikidata.org/entity/Q128581>
Brian Cashman	<http://www.wikidata.org/entity/Q2924879>
Brighton Beach	<http://www.wikidata.org/entity/Q915813>
British	<http://www.wikidata.org/entity/Q145>
Brooklyn	<http://www.wikidata.org/entity/Q18419>
Brooklyn Tech	<http://www.wikidata.org/entity/Q2737843>
Burns	<http://www.wikidata.org/entity/Q170518>
CA	<http://www.wikidata.org/entity/Q99>
CAPPUCCINO	<http://www.wikidata.org/entity/Q159774>
CBS	<http://www.wikidata.org/entity/Q43380>
CCR5	<http://www.wikidata.org/entity/Q418404>
CDC	<http://www.wikidata.org/entity/Q583725>
CNN	<http://www.wikidata.org/entity/Q48340>
CNNMoney	<http://www.wikidata.org/entity/Q2931769>
CO	<http://www.wikidata.org/entity/Q1261>
CTA	<http://www.wikidata.org/entity/Q117309>
CVG	<http://www.wikidata.org/entity/Q277666>
California	<http://www.wikidata.org/entity/Q99>
Canada	<http://www.wikidata.org/entity/Q16>
Cart	<http://www.wikidata.org/entity/Q234668>
Cashman	<http://www.wikidata.org/entity/Q2924879>
Catherine	<http://www.wikidata.org/entity/Q277377>
Central Park Zoo	<http://www.wikidata.org/entity/Q954207>
Charlotte	<http://www.wikidata.org/entity/Q16565>
China	<http://www.wikidata.org/entity/Q148>
Christina Aguilera	<http://www.wikidata.org/entity/Q41594>
Cialdini	<http://www.wikidata.org/entity/Q1198516>
Click	<http://www.wikidata.org/entity/Q427013>
Cody Simpson	<http://www.wikidata.org/entity/Q314319>
Company	<http://www.wikidata.org/entity/Q783794>
Continental	<http://www.wikidata.org/entity/Q216486>
Cook	<http://www.wikidata.org/entity/Q156839>
Cooking	<http://www.wikidata.org/entity/Q38695>
Costco	<http://www.wikidata.org/entity/Q715583>
Craft	<http://www.wikidata.org/entity/Q2207288>
DA	<http://www.wikidata.org/entity/Q761877>
DLC	<http://www.wikidata.org/entity/Q1066707>
DOTA 2	<http://www.wikidata.org/entity/Q771541>
DUB	<http://www.wikidata.org/entity/Q212688>
Daily News	<http://www.wikidata.org/entity/Q627827>
David Archuleta	<http://www.wikidata.org/entity/Q214831>
Defense of the Ancients	<http://www.wikidata.org/entity/Q215936>
Demi Moore	<http://www.wikidata.org/entity/Q43044>
Democratic Party	<http://www.wikidata.org/entity/Q29552>
Deutsche Boerse	<http://www.wikidata.org/entity/Q157852>
Discover	<http://www.wikidata.org/entity/Q733742>
Disney	<http://www.wikidata.org/entity/Q7414>
Disney Princess	<http://www.wikidata.org/entity/Q1140303>
Documentary	<http://www.wikidata.org/entity/Q93204>
Dota	<http://www.wikidata.org/entity/Q215936>
Dota 2	<http://www.wikidata.org/entity/Q771541>
Double Fine	<http://www.wikidata.org/entity/Q1251435>
Drupal	<http://www.wikidata.org/entity/Q170855>
Dude	<http://www.wikidata.org/entity/Q942988>
EULA	<http://www.wikidata.org/entity/Q725920>
EWR	<http://www.wikidata.org/entity/Q466786>
East Coast	<http://www.wikidata.org/entity/Q4268>
East Village	<http://www.wikidata.org/entity/Q1043326>
Ed McMahon	<http://www.wikidata.org/entity/Q555370>
Educator	<http://www.wikidata.org/entity/Q8434>
Ellen	<http://www.wikidata.org/entity/Q839150>
Ellen DeGeneres	<http://www.wikidata.org/entity/Q483325>
Ellen DeGeneres Show	<http://www.wikidata.org/entity/Q839150>
Elton John	<http://www.wikidata.org/entity/Q2808>
Estee Lauder	<http://www.wikidata.org/entity/Q285493>
Europe	<http://www.wikidata.org/entity/Q46>
European	<http://www.wikidata.org/entity/Q46>
European Central Bank	<http://www.wikidata.org/entity/Q8901>
FBI	<http://www.wikidata.org/entity/Q8333>
FRA	<http://www.wikidata.org/entity/Q142>
FRANKFURT	<http://www.wikidata.org/entity/Q1794>
Facebook	<http://www.wikidata.org/entity/Q355>
Fatal Attraction	<http://www.wikidata.org/entity/Q504157>
Feedburner	<http://www.wikidata.org/entity/Q776845>
Final Fantasy XIII-2	<http://www.wikidata.org/entity/Q1416043>
Financial Times	<http://www.wikidata.org/entity/Q183399>
FireFox	<http://www.wikidata.org/entity/Q698>
First Solar	<http://www.wikidata.org/entity/Q1138888>
Flash Player	<http://www.wikidata.org/entity/Q857177>
Forbes	<http://www.wikidata.org/entity/Q956568>
Fortune	<http://www.wikidata.org/entity/Q372989>
Fox	<http://www.wikidata.org/entity/Q166419>
French	<http://www.wikidata.org/entity/Q142>
Frictional	<http://www.wikidata.org/entity/Q1441169>
Frictional Games	<http://www.wikidata.org/entity/Q1441169>
Fumito Ueda	<http://www.wikidata.org/entity/Q2524011>
GOP	<http://www.wikidata.org/entity/Q29468>
GTA	<http://www.wikidata.org/entity/Q132730>
GameSpot	<http://www.wikidata.org/entity/Q45836>
Geek	<http://www.wikidata.org/entity/Q243697>
Gen	<http://www.wikidata.org/entity/Q83460>
Georgia	<http://www.wikidata.org/entity/Q1428>
German	<http://www.wikidata.org/entity/Q183>
Ghost Adventures	<http://www.wikidata.org/entity/Q3243445>
God	<http://www.wikidata.org/entity/Q190>
